R1	42.93	50.00	180.00	18	R0603
R2	62.23	50.00	270.00	10k	R0603
R3	50.04	20.32	270.00	1450	R0603
R4	24.38	35.31	210.00	1450	R0603
R5	24.64	64.52	150.00	1450	R0603
R6	50.04	79.76	90.00	1450	R0603
R7	75.56	64.77	30.00	1450	R0603
R8	75.82	35.18	330.00	1450	R0603
U$1	57.53	50.00	0.00	NMOS_SOT23	SOT23
